withdrawal_percentage,hour,transactions_per_day,transactions_per_month,output
8.322238353732452909e-01,2.065474032636357649e+00,3.963956085632248261e+01,8.170904242082464464e+00,8.449232898130026870e-01
3.853042470789415086e-01,1.007857148026640814e+01,7.091471015465054428e+00,5.762244285913920017e+00,8.403314378975669241e-01
1.210772669228367127e-01,1.140857909170579276e+01,3.656813765187551013e+01,1.851149101104094186e+01,8.449232898130026870e-01
4.134543432145396658e-01,1.580150818145634517e+01,1.155896371170879178e+01,3.654040431956100576e+01,8.444636900555517744e-01
4.962196697174821036e-01,2.244676001566183032e+01,3.162240141202466859e+01,4.441771981597846519e+01,4.949999999999989964e-01
7.728283370460364843e-02,9.056595167293515658e+00,1.646535388108173592e+01,6.414975818047018663e+00,8.449232898036140860e-01
2.878177936868832054e-01,1.317765114124470927e+01,3.919234739292097203e+01,1.185146828129235885e+01,8.449232898130026870e-01
7.162921007320410816e-01,1.305089057210511427e+01,4.774297534052294623e+00,1.554541076584767545e+01,2.814501550925316287e-01
2.100261762673395483e-01,1.150968485213662262e+01,2.714135288965822213e+01,7.147551804901852712e+00,8.449232898130026870e-01
7.254451865959374857e-01,1.573177055370522837e+01,3.263641832724729852e+00,1.249972307540287275e+01,2.409544881276597106e-01
5.784396787249510563e-01,9.703451297274554577e+00,3.802487809113718953e+01,2.444593189787964960e+01,8.449232898130026870e-01
6.116302243248217252e-01,1.586446616551025812e+00,1.515246516111317376e+01,2.751142407708410431e+01,8.449232896590039843e-01
7.777055451476724279e-01,2.106066620182342675e+01,2.218719191821777059e+01,2.735718156195648021e+01,8.449232898125362823e-01
3.630116561266313324e-01,1.671062934991534732e+01,4.368720442636704604e+01,2.518089272881974239e+01,8.449232898130026870e-01
1.986576734840872493e-01,1.669659982786515684e+01,8.737682318823903671e+00,3.594688831969729392e+01,8.446582685216493802e-01
7.286463116336230339e-01,1.167212489193373415e+01,2.171581844495619862e+00,2.926694438712097579e+01,1.619203241231350343e-01
7.100416014955507338e-01,1.839017690042780373e+01,1.761237634015460429e+01,2.926444340867787730e+01,8.449232897565897016e-01
3.312170550686829307e-01,5.742036820575004086e+00,8.537959657890535681e+00,1.066028863483157529e+01,8.445191342743565421e-01
2.549067254585308806e-01,1.162682485959970791e+01,2.523268084794330690e+01,2.996047178373441966e+01,8.449232896393187309e-01
3.111985089900045631e-01,9.373335273899261466e+00,3.335057608849261612e+00,3.354550236146566533e+01,1.815296277817856907e-01
5.636035321452357305e-01,1.734716137652169010e+01,2.447089165477749262e+01,1.431160417096462467e+00,8.449232898130026870e-01
4.887424154612666216e-01,1.548942688273929669e+00,5.936080600900969451e+00,2.654610968804393778e+01,8.040441940603074711e-01
4.259984538198974269e-01,4.156165228456040417e+00,4.738103421733936216e+01,4.296709451351600251e+01,4.986475504864487096e-01
8.308535101121655719e-01,5.490307725472506561e+00,1.507232008501107501e+01,2.376650639607854743e+01,8.449232896450338259e-01
1.957215843964932311e-02,9.884162862012386697e+00,4.873133861600151562e+01,4.216542400685987246e+01,7.617846096982396897e-01
7.170660564178451546e-01,4.294391301373744696e+00,3.064927650367518197e+01,8.771402115382437303e-01,8.449232898130026870e-01
6.705776771405752568e-01,9.446926470535995435e+00,7.517284782621874051e+00,3.009301825834955224e+01,8.420051745157742795e-01
4.136104799628558260e-01,1.552985396402598539e+01,6.071226306304953191e+00,2.389440120395483191e+01,8.008586834266595567e-01
5.057699888250526410e-01,4.913247531691731673e+00,4.797847199868268575e+01,1.926952630225307317e+01,8.449232898130026870e-01
9.088469880987621874e-01,2.255007501117477275e+01,2.204123644642000945e-01,4.537385409919130552e+01,8.439857489885711495e-01
8.967530574017212874e-02,5.312604722963534698e+00,1.035082794515031246e+01,3.934853000431104419e+01,7.662273875895581066e-01
6.027489738895456250e-01,1.785807146579724503e+01,3.873218215006057008e+00,6.250498737531922089e-01,5.024554378411595357e-01
3.617249628669092498e-01,4.494631009093891905e+00,2.416704381686217573e+01,4.719457043921294570e+01,4.972765424293829617e-01
7.681757771207068375e-01,2.200761125114146921e+01,2.745520760879625755e+01,4.551869466252274776e+01,8.409547388640919996e-01
3.992897000827200227e-01,1.278062491239655429e+01,1.303398002048086823e+01,2.625305897554713042e+01,8.449232747994569470e-01
1.557055784182065361e-01,2.116922332689006758e+00,4.618192466215977987e+01,6.769408963260858947e+00,8.449232898130026870e-01
3.826969548230745310e-01,1.748759508227125536e+01,1.680203281070336274e+01,3.396691214811388448e+01,8.449221700615865416e-01
5.150456971557272334e-01,1.002830498199785758e+00,1.186031767843278217e+01,1.474928700036049101e+01,8.449230206114042296e-01
6.138223815483134782e-02,1.184681288942648436e+01,2.171853400031500314e+01,3.525189182738589722e+01,8.448941710307328323e-01
4.921681165420814796e-01,5.000305629045200817e-01,4.628697515254736317e+01,4.137884889720081105e+01,5.078722307571726935e-01
8.803408775785132034e-01,3.472035081563591419e+00,1.553775750912784126e+01,9.967841818161335965e+00,8.449232897247633822e-01
1.321605796409985878e-01,2.346127943282646200e+01,4.434677970179915718e+01,2.154040396055943063e+01,8.449232898130026870e-01
3.375076060091717345e-01,1.701882336863222989e+01,3.411345291823831616e+01,3.485393026975084041e+01,8.449145504171005072e-01
3.185847615063843730e-01,4.651790586235035718e+00,4.430125448372935892e+01,1.168790020450295764e+01,8.449232898130026870e-01
3.899694150879440269e-02,7.105834676177779308e+00,2.450270001044789581e+01,2.860444908752424098e+01,8.449232898024742200e-01
4.883605114365607847e-01,3.546811778187048070e+00,4.676141426070961060e+00,1.804273183681539905e+01,5.712774511101904595e-01
9.294199963092778516e-01,1.457679430211991445e+01,1.424453001112510542e+01,3.199372200811304978e+01,8.449232744006315299e-01
5.844222704545954938e-01,1.847479978666553890e+00,7.946434827468360496e+00,3.189129757057483516e+01,8.439082607708758843e-01
8.286381121758790158e-02,5.682826366304894350e+00,3.691829694582049370e+01,1.632712202627762110e+01,8.449232898130026870e-01
6.859290138761509059e-02,1.978045100835235104e+01,1.317608450632867267e+01,2.379035166440703009e+01,8.449232768453306397e-01
1.184143249226499162e-01,1.802532814062293376e+00,4.604373760168411422e+01,1.049119397709047519e+01,8.449232898130026870e-01
1.717734136820537882e-01,6.738062185453212116e+00,1.923341426437175272e+01,2.319813555340273936e+01,8.449232898130026870e-01
8.215535593390621560e-01,3.634909825280106865e+00,1.222827360900097915e+01,5.323029457590869207e+00,8.449231828094396768e-01
1.896691235968606115e-01,1.768161484059413269e+01,1.899405358709087110e+01,3.579071854568633171e+01,8.448501134342846219e-01
5.053917886945169524e-02,1.360524461821986186e+01,4.557198813875493926e+01,2.351215684576962062e+01,8.449232898130026870e-01
5.127573658454914751e-01,6.432209771750426519e+00,1.452635302346672042e+01,2.491558950616117585e+01,8.449232889390054790e-01
7.258762532019819025e-01,4.020165956685582742e+00,1.734323969056285719e+01,2.094092104697369905e+01,8.449232898121147306e-01
