withdrawal_percentage,hour,transactions_per_day,transactions_per_month,output
5.657579944145807449e-01,1.354060031324658908e+01,4.126694132405601323e+01,4.782395526946785935e+01,0.000000000000000000e+00
5.773750449812519170e-01,2.019953083551257578e+01,4.394047349898128374e+01,1.444602470270205252e+01,9.899999999999999911e-01
6.490926528808171891e-02,2.142130830328008528e+01,1.025525955192958349e+01,2.876063710289666631e+01,9.599999999999999645e-01
3.157605339430146207e-01,1.824310482302753300e+01,8.048009532883078521e+00,2.340531690897645234e+01,8.599999999999999867e-01
4.744447606295232323e-02,1.102499371242062765e+00,1.296207654379787577e+01,3.493121244757411148e+01,9.599999999999999645e-01
9.298488703091047913e-01,1.409218966356833214e+01,4.983462326613155469e+00,4.852733641522684138e+01,0.000000000000000000e+00
9.437960619096746884e-01,1.679426135086113447e+01,1.461173809054879591e+01,2.059529011346210225e+01,9.899999999999999911e-01
8.787840311165123763e-01,9.680094973161605054e+00,3.998925597196106452e+01,1.575215992542328713e+01,9.899999999999999911e-01
8.921516868058322336e-01,5.679977407687337276e+00,3.303446120657478957e+01,1.546312440149036149e+01,9.899999999999999911e-01
3.250567621723332579e-01,1.706781044078331533e+01,3.703908829173764961e+00,1.371268355940413564e+01,3.300000000000000155e-01
2.085117405755120279e-01,1.223112433914047514e+01,7.105883055228208178e+00,1.852931511178847401e+01,8.100000000000000533e-01
2.841569816441102958e-01,5.373323229254285849e+00,3.209111447524465177e+01,4.212175190617602993e+01,3.200000000000000067e-01
3.491835087198584819e-01,2.196479095140632154e+01,1.466696489926401981e+01,3.982678188396187835e+01,7.099999999999999645e-01
5.218556892426704508e-01,4.398734643069620809e+00,9.337278110582987622e+00,2.131288408406668822e+01,9.100000000000000311e-01
7.130102689997976917e-01,1.880189546538035117e+01,3.423095325991619120e+01,4.599663402470893203e+01,7.199999999999999734e-01
9.715233364281905537e-02,1.138476324743185231e+01,1.154694291389094474e+01,1.544649520464182402e+01,9.899999999999999911e-01
2.173974656216607348e-01,6.090102817865259865e+00,3.974420578740956955e+01,1.495589954045539294e+00,9.899999999999999911e-01
4.376173035367466602e-01,1.674040855476484424e+01,4.776245618110350222e+01,7.182986535762501124e-01,9.899999999999999911e-01
7.222868876546086891e-01,9.965612029398043248e-01,4.288758143805553402e+01,3.406653487003008252e+01,9.899999999999999911e-01
